New Shipment ID,Old Shipment ID,Original Parcel Type
204,FOX0119630,LTL
204,FOX0119650,LTL
205,FOX0119669,LTL
206,9.18E+14,Parcel
207,9.18E+14,Parcel
208,9.18E+14,Parcel
209,6.82E+11,Parcel
210,6.59E+11,Parcel
211,9.18E+14,Parcel
212,9.18E+14,Parcel
212,9.18E+14,Parcel
212,9.18E+14,Parcel
212,9.18E+14,Parcel
213,9.18E+14,Parcel
214,6.59E+11,Parcel
215,9.18E+14,Parcel
216,6.59E+11,Parcel
217,9.18E+14,Parcel
218,9.18E+14,Parcel
219,FOX0126865,LTL
220,FOX0126804,LTL
221,6.59E+11,Parcel
222,9.18E+14,Parcel
223,6.59E+11,Parcel
224,9.18E+14,Parcel
224,9.18E+14,Parcel
224,9.18E+14,Parcel
224,9.18E+14,Parcel
224,9.18E+14,Parcel
224,9.18E+14,Parcel
224,9.18E+14,Parcel
224,9.18E+14,Parcel
224,9.18E+14,Parcel
224,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
225,9.18E+14,Parcel
226,6.82E+11,Parcel
227,9.18E+14,Parcel
227,9.18E+14,Parcel
228,9.18E+14,Parcel
229,9.18E+14,Parcel
229,9.18E+14,Parcel
230,9.18E+14,Parcel
231,9.18E+14,Parcel
231,9.18E+14,Parcel
232,9.18E+14,Parcel
233,9.18E+14,Parcel
234,9.18E+14,Parcel
235,9.18E+14,Parcel
235,9.18E+14,Parcel
235,9.18E+14,Parcel
236,9.18E+14,Parcel
237,9.18E+14,Parcel
238,6.59E+11,Parcel
238,6.59E+11,Parcel
239,9.18E+14,Parcel
239,9.18E+14,Parcel
239,9.18E+14,Parcel
240,6.82E+11,Parcel
241,FOX0113183,LTL
242,FOX0113173,LTL
243,FOX0113114,LTL
243,FOX0113113,LTL
244,9.18E+14,Parcel
245,6.82E+11,Parcel
246,9.18E+14,Parcel
247,9.18E+14,Parcel
248,6.59E+11,Parcel
249,9.18E+14,Parcel
250,6.59E+11,Parcel
250,6.59E+11,Parcel
250,6.59E+11,Parcel
250,6.59E+11,Parcel
250,6.59E+11,Parcel
250,6.59E+11,Parcel
250,6.59E+11,Parcel
250,6.59E+11,Parcel
250,6.59E+11,Parcel
250,6.59E+11,Parcel
251,6.82E+11,Parcel
251,6.82E+11,Parcel
251,6.82E+11,Parcel
251,6.82E+11,Parcel
251,6.82E+11,Parcel
252,9.18E+14,Parcel
253,9.18E+14,Parcel
253,9.18E+14,Parcel
254,6.82E+11,Parcel
255,FOX0129654,LTL
256,9.18E+14,Parcel
257,1.01E+11,LTL
258,1.01E+11,LTL
259,9.18E+14,Parcel
259,9.18E+14,Parcel
259,9.18E+14,Parcel
259,9.18E+14,Parcel
259,9.18E+14,Parcel
260,9.18E+14,Parcel
260,9.18E+14,Parcel
260,9.18E+14,Parcel
